,County,Precinct,Registered Voters
295,Chatham,7-08C Bloomingdale Comm Ctr,2733
296,Chatham,7-09C Savannah Holy C of G,2823
297,Chatham,7-10C Progressive Rec Center,4288
298,Chatham,7-11C Seventh Day Adv Church,6469
299,Chatham,7-12C Pooler Church,3334
300,Chatham,7-13C Southside Fire Trng Ctr,2513
301,Chatham,7-14C Coastal Cathedral,7572
302,Chatham,7-15C Rice Creek School,2564
303,Chatham,7-16C Pooler Recreation Center Gymnasium,3701
304,Chatham,8-01C Civic Center,850
305,Chatham,8-02C Hellenic Center,1709
306,Chatham,8-03C Silk Hope Baptist Church,831
307,Chatham,8-05C W Broad St YMCA,1543
308,Chatham,8-06C Tompkins Rec Center,1055
309,Chatham,8-07C Woodville-Tompkins TI,630
310,Chatham,8-08C Resur of Our Lord Church,1704
311,Chatham,8-09C Moses Jackson Center,1362
312,Chatham,8-10C Carver Heights Comm Ctr,1784
313,Chatham,8-11C Butler Elementary,1386
314,Chatham,8-12C Beach High School,1310
315,Chatham,8-13C Savannah Christian,1022
316,Chatham,8-15C Garden City Rec Center,1622
317,Chatham,8-16C Royal Cinemas and IMAX,3087
318,Chattahoochee,Activity Center,0
319,Chattooga,Coldwater,248
320,Chattooga,Dirtseller,186
321,Chattooga,Haywood,169
322,Chattooga,Lyerly,934
323,Chattooga,Trion,3496
324,Chattooga,Summerville,5155
325,Chattooga,Teloga,593
326,Chattooga,Dirttown,897
327,Chattooga,Seminole,138
328,Chattooga,Subligna,489
329,Chattooga,Alpine,872
330,Chattooga,Cloudland,378
331,Chattooga,Pennville,588
332,Cherokee,Air Acres,3050
333,Cherokee,Arnold Mill,4884
334,Cherokee,Avery,3592
335,Cherokee,Ball Ground,4065
336,Cherokee,Bascomb,4115
337,Cherokee,Bells,5906
338,Cherokee,Booth,3899
339,Cherokee,Bradshaw,4491
340,Cherokee,Bridgemill,5113
341,Cherokee,Canton,8213
342,Cherokee,Carmel,4581
343,Cherokee,Clayton,4906
344,Cherokee,Conns Creek,895
